Family	Mapped	Family_name	Genes	Molecular_function	Bio_process	Cell_component	Protein_class	Interpro
PTHR47320:SF1	VIBCH|EnsemblGenome=VC_2262|UniProtKB=Q9KPV0	BIFUNCTIONAL URIDYLYLTRANSFERASE/URIDYLYL-REMOVING ENZYME	17					
PTHR11054:SF14	VIBCH|EnsemblGenome=VC_A0897|UniProtKB=Q9KL51	SUBFAMILY NOT NAMED	4					
PTHR11616:SF240	VIBCH|EnsemblGenome=VC_2012|UniProtKB=Q9KQI6	SODIUM-DEPENDENT DOPAMINE TRANSPORTER	45			plasma membrane(GO:0005886)	cation transporter(PC00068)	
PTHR45765:SF1	VIBCH|EnsemblGenome=VC_1036|UniProtKB=Q9KT69	"METHIONINE--TRNA LIGASE, CYTOPLASMIC"	141			cytosol(GO:0005829)		
PTHR33398:SF1	VIBCH|EnsemblGenome=VC_0679|UniProtKB=O34239	30S RIBOSOMAL PROTEIN S20	32	rRNA binding(GO:0019843)				
PTHR35006:SF1	VIBCH|EnsemblGenome=VC_A0432|UniProtKB=Q9KMD0	SUBFAMILY NOT NAMED	3					
PTHR22595:SF138	VIBCH|EnsemblGenome=VC_0769|UniProtKB=Q9KTW1	ENDOCHITINASE EP3	87					
PTHR47816:SF4	VIBCH|EnsemblGenome=VC_2297|UniProtKB=Q9KPR9	RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE G	11					
PTHR32089:SF65	VIBCH|EnsemblGenome=VC_A0773|UniProtKB=Q9KLH1	SUBFAMILY NOT NAMED	2					
PTHR21403:SF4	VIBCH|EnsemblGenome=VC_1132|UniProtKB=Q9KSX4	ATP PHOSPHORIBOSYLTRANSFERASE	28	"transferase activity, transferring pentosyl groups(GO:0016763)"	aromatic compound biosynthetic process(GO:0019438);cellular amino acid biosynthetic process(GO:0008652);cellular nitrogen compound metabolic process(GO:0034641);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362)		glycosyltransferase(PC00111)	
PTHR43089:SF2	VIBCH|EnsemblGenome=VC_2766|UniProtKB=Q9KNH3	"ATP SYNTHASE SUBUNIT ALPHA, MITOCHONDRIAL"	162	"ATP binding(GO:0005524);proton-transporting ATP synthase activity, rotational mechanism(GO:0046933)"	ATP synthesis coupled proton transport(GO:0015986);electron transport chain(GO:0022900);response to oxidative stress(GO:0006979)		ATP synthase(PC00002);DNA binding protein(PC00009);anion channel(PC00049);hydrolase(PC00121);ligand-gated ion channel(PC00141)	
PTHR30580:SF0	VIBCH|EnsemblGenome=VC_2678|UniProtKB=Q9KNQ3	PRIMOSOMAL PROTEIN N'	33	3'-5' DNA helicase activity(GO:0043138);ATP-dependent DNA helicase activity(GO:0004003)	DNA biosynthetic process(GO:0071897);DNA recombination(GO:0006310);DNA replication initiation(GO:0006270);double-strand break repair(GO:0006302)			
PTHR38812:SF2	VIBCH|EnsemblGenome=VC_1791|UniProtKB=Q9KR55	SUBFAMILY NOT NAMED	5					
PTHR36504:SF1	VIBCH|EnsemblGenome=VC_2527|UniProtKB=Q9KP50	LIPOPOLYSACCHARIDE EXPORT SYSTEM PROTEIN LPTA	16	transporter activity(GO:0005215)	carbohydrate derivative transport(GO:1901264);lipid transport(GO:0006869)	cell outer membrane(GO:0009279);outer membrane-bounded periplasmic space(GO:0030288);plasma membrane(GO:0005886)		
PTHR43111:SF1	"VIBCH|EnsemblGenome=VC_1819|UniProtKB=Q9KR28,VIBCH|EnsemblGenome=VC_0819|UniProtKB=P0C6D7"	ALDEHYDE DEHYDROGENASE B	22				dehydrogenase(PC00092)	
PTHR20836:SF0	VIBCH|EnsemblGenome=VC_2391|UniProtKB=Q9KPH7	"DIHYDRODIPICOLINATE REDUCTASE-LIKE PROTEIN CRR1, CHLOROPLASTIC"	75	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628)"	cellular amino acid biosynthetic process(GO:0008652)		oxidoreductase(PC00176)	
PTHR11119:SF49	VIBCH|EnsemblGenome=VC_2171|UniProtKB=Q9KQ33	URACIL PERMEASE	18	drug transmembrane transporter activity(GO:0015238);nucleobase transmembrane transporter activity(GO:0015205)		integral component of plasma membrane(GO:0005887)	transporter(PC00227)	
PTHR43344:SF6	VIBCH|EnsemblGenome=VC_1940|UniProtKB=Q9KQQ8	SUBFAMILY NOT NAMED	5					
PTHR30435:SF29	VIBCH|EnsemblGenome=VC_2199|UniProtKB=Q9KQ08	SUBFAMILY NOT NAMED	4		cell motility(GO:0048870)	cell projection part(GO:0044463);non-membrane-bounded organelle(GO:0043228);organelle part(GO:0044422)	structural protein(PC00211)	
PTHR30472:SF25	VIBCH|EnsemblGenome=VC_A0914|UniProtKB=Q9KL35	SUBFAMILY NOT NAMED	41					
PTHR42994:SF2	VIBCH|EnsemblGenome=VC_1343|UniProtKB=Q9KSB5	SUBFAMILY NOT NAMED	7				deacetylase(PC00087);metalloprotease(PC00153)	
PTHR43047:SF31	"VIBCH|EnsemblGenome=VC_1831|UniProtKB=Q9KR16,VIBCH|EnsemblGenome=VC_1653|UniProtKB=Q9KRI8"	OSMOSENSING HISTIDINE PROTEIN KINASE SLN1	81					
PTHR22893:SF68	VIBCH|EnsemblGenome=VC_A0993|UniProtKB=Q9KKV7	SUBFAMILY NOT NAMED	3			cytosol(GO:0005829)	oxidoreductase(PC00176)	
PTHR24031:SF594	VIBCH|EnsemblGenome=VC_A0061|UniProtKB=Q9KNA4	ATP-DEPENDENT RNA HELICASE DDX17-RELATED	138					
PTHR32071:SF21	VIBCH|EnsemblGenome=VC_2135|UniProtKB=Q9KQ67	SUBFAMILY NOT NAMED	16				homeodomain transcription factor(PC00119)	
PTHR21022:SF0	VIBCH|EnsemblGenome=VC_0705|UniProtKB=Q9KU24	PREPHENATE DEHYDRATASE-RELATED	98	hydro-lyase activity(GO:0016836)	aromatic compound biosynthetic process(GO:0019438);cellular amino acid biosynthetic process(GO:0008652);drug metabolic process(GO:0017144);organic cyclic compound biosynthetic process(GO:1901362)		dehydratase(PC00091)	
PTHR37485:SF1	VIBCH|EnsemblGenome=VC_0527|UniProtKB=Q9KUJ3	CELL DIVISION PROTEIN FTSB	12		asexual reproduction(GO:0019954);cytokinesis(GO:0000910);membrane fission(GO:0090148);reproductive process(GO:0022414)	cell division site(GO:0032153);cell septum(GO:0030428)		
PTHR33445:SF1	VIBCH|EnsemblGenome=VC_2768|UniProtKB=Q9KNH1	ATP SYNTHASE SUBUNIT B	32	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626);proton transmembrane transporter activity(GO:0015078)"		"proton-transporting ATP synthase complex, coupling factor F(o)(GO:0045263)"		
PTHR21198:SF2	VIBCH|EnsemblGenome=VC_0158|UniProtKB=Q9KVI7	GLUTAMATE RACEMASE	29	catalytic activity(GO:0003824)	peptidoglycan biosynthetic process(GO:0009252)			
PTHR43031:SF6	VIBCH|EnsemblGenome=VC_A0644|UniProtKB=Q9KLU7	NITRIC OXIDE REDUCTASE FLRD-NAD(+) REDUCTASE	6	oxidoreductase activity(GO:0016491)	nitrogen compound metabolic process(GO:0006807);respiratory electron transport chain(GO:0022904)		dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	
PTHR10229:SF0	VIBCH|EnsemblGenome=VC_0348|UniProtKB=Q9KV10	GTP-BINDING PROTEIN 6-RELATED	110	ribosome binding(GO:0043022)		cytoplasm(GO:0005737)		
PTHR11465:SF23	VIBCH|EnsemblGenome=VC_1585|UniProtKB=Q9KRQ1	CATALASE-RELATED	76	heme binding(GO:0020037);oxidoreductase activity(GO:0016491)	cellular catabolic process(GO:0044248);cellular response to chemical stimulus(GO:0070887);cofactor metabolic process(GO:0051186);drug metabolic process(GO:0017144);reactive oxygen species metabolic process(GO:0072593);response to antibiotic(GO:0046677);response to drug(GO:0042493);response to inorganic substance(GO:0010035);response to reactive oxygen species(GO:0000302);response to toxic substance(GO:0009636)		peroxidase(PC00180)	
PTHR22976:SF1	VIBCH|EnsemblGenome=VC_1112|UniProtKB=Q9KSZ4	"BIOTIN SYNTHASE, MITOCHONDRIAL"	88	transferase activity(GO:0016740)	metabolic process(GO:0008152)		transferase(PC00220)	
PTHR30269:SF29	VIBCH|EnsemblGenome=VC_A1052|UniProtKB=Q9KKQ0	SUBFAMILY NOT NAMED	11			plasma membrane(GO:0005886)		
PTHR42725:SF1	VIBCH|EnsemblGenome=VC_2070|UniProtKB=Q9KQD0	PHOSPHOHISTIDINE PHOSPHATASE SIXA	11			cytoplasm(GO:0005737)		
PTHR39966:SF2	VIBCH|EnsemblGenome=VC_2358|UniProtKB=Q9KPK9	SUBFAMILY NOT NAMED	12			plasma membrane(GO:0005886)		
PTHR43197:SF1	VIBCH|EnsemblGenome=VC_0395|UniProtKB=Q9KUW4	UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE	34	enzyme regulator activity(GO:0030234);guanyl-nucleotide exchange factor activity(GO:0005085);nucleotidyltransferase activity(GO:0016779);translation initiation factor activity(GO:0003743);translation regulator activity(GO:0045182)	glycogen metabolic process(GO:0005977);monosaccharide metabolic process(GO:0005996);phospholipid metabolic process(GO:0006644)		guanyl-nucleotide exchange factor(PC00113);nucleotidyltransferase(PC00174);translation initiation factor(PC00224)	
PTHR38457:SF1	VIBCH|EnsemblGenome=VC_A0629|UniProtKB=Q9KLW2	REGULATOR ABRB-RELATED	9					
PTHR43848:SF2	VIBCH|EnsemblGenome=VC_1426|UniProtKB=Q9KS35	SPERMIDINE/PUTRESCINE TRANSPORT SYSTEM PERMEASE PROTEIN POTC	20	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"		plasma membrane(GO:0005886)		
PTHR10093:SF8	VIBCH|EnsemblGenome=VC_0749|UniProtKB=Q9KTY1	"IRON-SULFUR CLUSTER ASSEMBLY ENZYME ISCU, MITOCHONDRIAL"	159	cofactor binding(GO:0048037);iron ion binding(GO:0005506);transferase activity(GO:0016740)	cellular iron ion homeostasis(GO:0006879)	cytoplasm(GO:0005737)		
PTHR43654:SF3	VIBCH|EnsemblGenome=VC_2274|UniProtKB=Q9KPT8	GLUTAMATE 5-KINASE	55	kinase activity(GO:0016301)	cellular amino acid biosynthetic process(GO:0008652);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362)	cytosol(GO:0005829)	amino acid kinase(PC00045);dehydrogenase(PC00092)	
PTHR44688:SF7	VIBCH|EnsemblGenome=VC_A0011|UniProtKB=Q9KNF3	HTH-TYPE TRANSCRIPTIONAL REGULATOR MALT	7					
PTHR43214:SF3	VIBCH|EnsemblGenome=VC_1213|UniProtKB=Q9KSP3	RESPONSE REGULATOR UVRY	11	methyltransferase activity(GO:0008168);protein kinase activity(GO:0004672)	cellular amino acid metabolic process(GO:0006520)	intracellular(GO:0005622);plasma membrane(GO:0005886)	methyltransferase(PC00155);protein kinase(PC00193);winged helix/forkhead transcription factor(PC00246)	
PTHR46679:SF4	VIBCH|EnsemblGenome=VC_A1011|UniProtKB=Q9KKT9	SUBFAMILY NOT NAMED	1					
PTHR32071:SF97	VIBCH|EnsemblGenome=VC_2749|UniProtKB=Q9KNI9	DNA-BINDING TRANSCRIPTIONAL REGULATOR NTRC	61					
PTHR38013:SF1	VIBCH|EnsemblGenome=VC_1064|UniProtKB=Q9KT41	SUBFAMILY NOT NAMED	8					
PTHR10285:SF138	VIBCH|EnsemblGenome=VC_0320|UniProtKB=Q9KV38	PANTOTHENATE KINASE	14	"kinase activity(GO:0016301);phosphotransferase activity, alcohol group as acceptor(GO:0016773)"	coenzyme biosynthetic process(GO:0009108);purine ribonucleotide biosynthetic process(GO:0009152)		glycosyltransferase(PC00111);nucleotide kinase(PC00172)	
PTHR35601:SF1	"VIBCH|EnsemblGenome=VC_A0478|UniProtKB=Q9KMA0,VIBCH|EnsemblGenome=VC_A0444|UniProtKB=H9L4R3"	SUBFAMILY NOT NAMED	13					
PTHR30559:SF0	VIBCH|EnsemblGenome=VC_0478|UniProtKB=Q9KUN7	FRUCTOSE-BISPHOSPHATE ALDOLASE	26					
PTHR30606:SF4	VIBCH|EnsemblGenome=VC_0212|UniProtKB=Q9KVD4	LIPID A BIOSYNTHESIS MYRISTOYLTRANSFERASE	6					
PTHR44757:SF2	"VIBCH|EnsemblGenome=VC_0703|UniProtKB=Q9KU26,VIBCH|EnsemblGenome=VC_1652|UniProtKB=H9L4Q6"	SUBFAMILY NOT NAMED	27					
PTHR11839:SF5	VIBCH|EnsemblGenome=VC_2435|UniProtKB=Q9KPD5	ADP-RIBOSE PYROPHOSPHATASE	7	pyrophosphatase activity(GO:0016462)		cytosol(GO:0005829)		
PTHR22648:SF0	VIBCH|EnsemblGenome=VC_0642|UniProtKB=Q9KU81	TRANSCRIPTION TERMINATION/ANTITERMINATION PROTEIN NUSA	46		"protein-containing complex disassembly(GO:0032984);regulation of cellular component organization(GO:0051128);regulation of transcription, DNA-templated(GO:0006355);transcription, DNA-templated(GO:0006351)"	cytosol(GO:0005829)	mRNA processing factor(PC00147)	
PTHR20855:SF3	VIBCH|EnsemblGenome=VC_0040|UniProtKB=Q9KVU9	UPF0073 INNER MEMBRANE PROTEIN YQFA	47				receptor(PC00197)	
PTHR13370:SF23	VIBCH|EnsemblGenome=VC_A0447|UniProtKB=H9L4S1	DNA ADENINE METHYLTRANSFERASE YHDJ	15					
PTHR10584:SF166	VIBCH|EnsemblGenome=VC_A0131|UniProtKB=Q9KN34	RIBOKINASE	92		carbohydrate phosphorylation(GO:0046835)		carbohydrate kinase(PC00065);nucleotide kinase(PC00172)	
PTHR11113:SF15	"VIBCH|EnsemblGenome=VC_1783|UniProtKB=Q9KR60,VIBCH|EnsemblGenome=VC_0994|UniProtKB=O32445"	N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE	11	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides(GO:0016811)"	amino sugar catabolic process(GO:0046348)		deacetylase(PC00087);metalloprotease(PC00153)	
PTHR30462:SF3	VIBCH|EnsemblGenome=VC_1753|UniProtKB=Q9KR89	PARAQUAT-INDUCIBLE PROTEIN A	6					
PTHR24221:SF261	VIBCH|EnsemblGenome=VC_1181|UniProtKB=Q9KSS5	ATP-BINDING/PERMEASE PROTEIN CYDD	6				cysteine protease(PC00081);serine protease(PC00203)	
PTHR23426:SF34	VIBCH|EnsemblGenome=VC_0753|UniProtKB=Q9KTX7	"ADRENODOXIN, MITOCHONDRIAL"	38					
PTHR44758:SF1	VIBCH|EnsemblGenome=VC_A0564|UniProtKB=Q9KM25	NAD(P) TRANSHYDROGENASE SUBUNIT BETA	25					
PTHR30327:SF1	VIBCH|EnsemblGenome=VC_0467|UniProtKB=Q9KUP8	UPF0301 PROTEIN YQGE	24					
PTHR30570:SF6	VIBCH|EnsemblGenome=VC_0721|UniProtKB=Q9KU09	SUBFAMILY NOT NAMED	4	anion binding(GO:0043168)	inorganic anion transport(GO:0015698)			
PTHR43002:SF5	VIBCH|EnsemblGenome=VC_A1029|UniProtKB=Q9KKS1	SUBFAMILY NOT NAMED	6	hydrolase activity(GO:0016787)	glycogen metabolic process(GO:0005977)		amylase(PC00048)	
PTHR13799:SF13	VIBCH|EnsemblGenome=VC_2093|UniProtKB=Q9KQA7	NIF3-LIKE PROTEIN 1	80			cytoplasm(GO:0005737)		
PTHR38108:SF1	"VIBCH|EnsemblGenome=VC_A0026|UniProtKB=Q9KND9,VIBCH|EnsemblGenome=VC_1853|UniProtKB=Q9KQZ4"	UPF0319 PROTEIN YCCT	8					
PTHR43024:SF1	VIBCH|EnsemblGenome=VC_2405|UniProtKB=Q9KPG3	UDP-N-ACETYLMURAMOYL-TRIPEPTIDE--D-ALANYL-D-ALANINE LIGASE	51	ligase activity(GO:0016874)	metabolic process(GO:0008152)		ligase(PC00142)	
PTHR36931:SF1	VIBCH|EnsemblGenome=VC_1057|UniProtKB=Q9KT48	UPF0153 PROTEIN YEIW	11					
PTHR10362:SF7	VIBCH|EnsemblGenome=VC_1202|UniProtKB=Q9KSQ4	HISTIDINE AMMONIA-LYASE	65					
PTHR37326:SF2	VIBCH|EnsemblGenome=VC_2282|UniProtKB=Q9KPT0	SUBFAMILY NOT NAMED	3					
PTHR33343:SF1	VIBCH|EnsemblGenome=VC_A0289|UniProtKB=O68845	"50S RIBOSOMAL PROTEIN L35, CHLOROPLASTIC"	79	structural constituent of ribosome(GO:0003735)				
PTHR43618:SF6	VIBCH|EnsemblGenome=VC_A1108|UniProtKB=Q9KKJ7	7-ALPHA-HYDROXYSTEROID DEHYDROGENASE	25	oxidoreductase activity(GO:0016491)			dehydrogenase(PC00092);reductase(PC00198)	
PTHR23076:SF97	VIBCH|EnsemblGenome=VC_0637|UniProtKB=Q9KU86	ATP-DEPENDENT ZINC METALLOPROTEASE YME1L1	174	"ATPase activity, coupled(GO:0042623);peptidase activity, acting on L-amino acid peptides(GO:0070011)"		mitochondrion(GO:0005739)	metalloprotease(PC00153)	
PTHR38773:SF1	VIBCH|EnsemblGenome=VC_0471|UniProtKB=Q9KUP4	PROTEIN SPRT	7					
PTHR43108:SF10	VIBCH|EnsemblGenome=VC_2041|UniProtKB=Q9KQF7	INNER MEMBRANE PROTEIN YEJM	7			plasma membrane(GO:0005886)		
PTHR18895:SF74	VIBCH|EnsemblGenome=VC_2178|UniProtKB=Q9KQ26	HEMK METHYLTRANSFERASE FAMILY MEMBER 1	94					
PTHR39327:SF1	VIBCH|EnsemblGenome=VC_A1081|UniProtKB=Q9KKM2	SUBFAMILY NOT NAMED	9					
PTHR34406:SF1	VIBCH|EnsemblGenome=VC_A0539|UniProtKB=Q9KM50	PROTEIN YCEI	25				protease(PC00190)	
PTHR30336:SF5	VIBCH|EnsemblGenome=VC_1698|UniProtKB=Q9KRE4	PROTEIN YDCF	22			plasma membrane(GO:0005886)		
PTHR42920:SF10	VIBCH|EnsemblGenome=VC_A0090|UniProtKB=Q9KN75	SUBFAMILY NOT NAMED	4					
PTHR43488:SF2	VIBCH|EnsemblGenome=VC_1977|UniProtKB=Q9KQM1	GLUTAMATE-PYRUVATE AMINOTRANSFERASE ALAA	17	transferase activity(GO:0016740)	cellular amino acid metabolic process(GO:0006520);porphyrin-containing compound metabolic process(GO:0006778)		transaminase(PC00216)	
PTHR33608:SF12	VIBCH|EnsemblGenome=VC_A0174|UniProtKB=Q9KMZ2	SUBFAMILY NOT NAMED	5					
PTHR21600:SF55	"VIBCH|EnsemblGenome=VC_2505|UniProtKB=Q9KP71,VIBCH|EnsemblGenome=VC_A0104|UniProtKB=Q9KN61"	RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE A	26	intramolecular transferase activity(GO:0016866)	pseudouridine synthesis(GO:0001522);rRNA modification(GO:0000154)			
PTHR10192:SF5	VIBCH|EnsemblGenome=VC_1527|UniProtKB=Q9KRV7	GEPHYRIN	106	adenylyltransferase activity(GO:0070566);phosphorus-oxygen lyase activity(GO:0016849)	cellular protein modification process(GO:0006464);coenzyme biosynthetic process(GO:0009108);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362);organonitrogen compound biosynthetic process(GO:1901566);organophosphate biosynthetic process(GO:0090407);purine ribonucleoside triphosphate metabolic process(GO:0009205);purine ribonucleotide metabolic process(GO:0009150)	cytosol(GO:0005829)		
PTHR38596:SF1	VIBCH|EnsemblGenome=VC_0208|UniProtKB=Q9KVD8	UPF0114 PROTEIN YQHA	10			plasma membrane(GO:0005886)		
PTHR43811:SF27	VIBCH|EnsemblGenome=VC_A0661|UniProtKB=Q9KLT0	SUBFAMILY NOT NAMED	2	binding(GO:0005488);catalytic activity(GO:0003824)	cellular protein modification process(GO:0006464);protein folding(GO:0006457)	cytoplasm(GO:0005737)	calcium-binding protein(PC00060);chaperone(PC00072);isomerase(PC00135)	
PTHR12934:SF11	VIBCH|EnsemblGenome=VC_2577|UniProtKB=Q9KP03	"50S RIBOSOMAL PROTEIN L15, CHLOROPLASTIC"	79	structural constituent of ribosome(GO:0003735)				
PTHR21015:SF22	VIBCH|EnsemblGenome=VC_2401|UniProtKB=Q9KPG7	UDP-N-ACETYLGLUCOSAMINE--N-ACETYLMURAMYL-(PENTAPEPTIDE) PYROPHOSPHORYL-UNDECAPRENOL N-ACETYLGLUCOSAMINE TRANSFERASE	32	"acetyltransferase activity(GO:0016407);transferase activity, transferring glycosyl groups(GO:0016757)"	carbohydrate metabolic process(GO:0005975);protein lipidation(GO:0006497)		acetyltransferase(PC00038);glycosyltransferase(PC00111);transfer/carrier protein(PC00219)	
PTHR30417:SF4	VIBCH|EnsemblGenome=VC_2421|UniProtKB=Q9KPE7	"1,6-ANHYDRO-N-ACETYLMURAMYL-L-ALANINE AMIDASE AMPD"	9	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides(GO:0016811)"	macromolecule catabolic process(GO:0009057);organonitrogen compound catabolic process(GO:1901565);peptidoglycan metabolic process(GO:0000270)			
PTHR46499:SF1	VIBCH|EnsemblGenome=VC_0741|UniProtKB=Q9KTY9	QUEUINE TRNA-RIBOSYLTRANSFERASE	40	"catalytic activity, acting on RNA(GO:0140098);transferase activity, transferring pentosyl groups(GO:0016763)"	carbohydrate derivative biosynthetic process(GO:1901137);nucleobase-containing small molecule biosynthetic process(GO:0034404);organonitrogen compound biosynthetic process(GO:1901566);tRNA modification(GO:0006400)			
PTHR26402:SF586	VIBCH|EnsemblGenome=VC_2368|UniProtKB=Q9KPJ9	AEROBIC RESPIRATION CONTROL PROTEIN ARCA	6	DNA-binding transcription factor activity(GO:0003700);molecular transducer activity(GO:0060089);transcription regulatory region sequence-specific DNA binding(GO:0000976)	"phosphorelay signal transduction system(GO:0000160);positive regulation of transcription, DNA-templated(GO:0045893);transcription, DNA-templated(GO:0006351)"	cytosol(GO:0005829);protein-DNA complex(GO:0032993)	methyltransferase(PC00155);protein kinase(PC00193);winged helix/forkhead transcription factor(PC00246)	
PTHR43300:SF9	VIBCH|EnsemblGenome=VC_A0300|UniProtKB=Q9KMN1	SUBFAMILY NOT NAMED	4	acetyltransferase activity(GO:0016407);lyase activity(GO:0016829)	polysaccharide metabolic process(GO:0005976);protein glycosylation(GO:0006486)		acetyltransferase(PC00038);lyase(PC00144)	
PTHR38687:SF1	VIBCH|EnsemblGenome=VC_1002|UniProtKB=Q9KTA1	CELL DIVISION PROTEIN DEDD	9	glycosaminoglycan binding(GO:0005539)	cytokinetic process(GO:0032506);membrane fission(GO:0090148)	cell division site(GO:0032153);cell septum(GO:0030428)		
PTHR26402:SF743	VIBCH|EnsemblGenome=VC_2692|UniProtKB=Q9KNN9	TRANSCRIPTIONAL REGULATORY PROTEIN CPXR	13	DNA-binding transcription factor activity(GO:0003700);molecular transducer activity(GO:0060089);transcription regulatory region sequence-specific DNA binding(GO:0000976)	"phosphorelay signal transduction system(GO:0000160);positive regulation of transcription, DNA-templated(GO:0045893);transcription, DNA-templated(GO:0006351)"	cytosol(GO:0005829);protein-DNA complex(GO:0032993)	methyltransferase(PC00155);protein kinase(PC00193);winged helix/forkhead transcription factor(PC00246)	
PTHR42948:SF1	"VIBCH|EnsemblGenome=VC_2283|UniProtKB=Q9KPS9,VIBCH|EnsemblGenome=VC_1669|UniProtKB=Q9KRH3"	SUBFAMILY NOT NAMED	37					
PTHR43213:SF5	VIBCH|EnsemblGenome=VC_2027|UniProtKB=Q9KQH1	N-ACETYLSEROTONIN O-METHYLTRANSFERASE-LIKE PROTEIN	95				methyltransferase(PC00155)	
PTHR30624:SF4	VIBCH|EnsemblGenome=VC_0422|UniProtKB=Q9KUU3	METALLOPROTEASE TLDD	21			cytosol(GO:0005829)	protease(PC00190)	
PTHR43174:SF2	VIBCH|EnsemblGenome=VC_0917|UniProtKB=Q9KTI5	UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE	20	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);carbohydrate kinase activity(GO:0019200)	monosaccharide metabolic process(GO:0005996);regulation of carbohydrate metabolic process(GO:0006109);regulation of transcription by RNA polymerase II(GO:0006357);transcription by RNA polymerase II(GO:0006366)		carbohydrate kinase(PC00065);epimerase/racemase(PC00096);transcription factor(PC00218)	
PTHR43384:SF6	VIBCH|EnsemblGenome=VC_1960|UniProtKB=Q9KQN8	"SEPTUM SITE-DETERMINING PROTEIN MIND HOMOLOG, CHLOROPLASTIC-RELATED"	89	ATP binding(GO:0005524);ATPase activity(GO:0016887)	cell division(GO:0051301);negative regulation of cellular process(GO:0048523);regulation of cell division(GO:0051302)	cytoplasmic side of plasma membrane(GO:0009898);cytosol(GO:0005829);leaflet of membrane bilayer(GO:0097478)		
PTHR11142:SF0	VIBCH|EnsemblGenome=VC_0999|UniProtKB=Q9KTA4	TRNA PSEUDOURIDINE SYNTHASE	86	intramolecular transferase activity(GO:0016866)	pseudouridine synthesis(GO:0001522);tRNA modification(GO:0006400)		lyase(PC00144)	
PTHR44757:SF8	VIBCH|EnsemblGenome=VC_2454|UniProtKB=Q9KPB9	DIGUANYLATE CYCLASE DGCP	3					
PTHR30001:SF1	VIBCH|EnsemblGenome=VC_2030|UniProtKB=Q9KQG8	"RIBONUCLEASE E/G-LIKE PROTEIN, CHLOROPLASTIC"	50		rRNA processing(GO:0006364)			
PTHR12428:SF14	VIBCH|EnsemblGenome=VC_0004|UniProtKB=Q9KVY4	"INNER MEMBRANE PROTEIN ALBINO3, CHLOROPLASTIC"	79	transmembrane transporter activity(GO:0022857)	protein metabolic process(GO:0019538);respiratory electron transport chain(GO:0022904)		transporter(PC00227)	
PTHR40572:SF1	VIBCH|EnsemblGenome=VC_1430|UniProtKB=Q9KS31	PROTEIN BAX	6					
PTHR42765:SF1	VIBCH|EnsemblGenome=VC_0682|UniProtKB=Q9KU47	"ISOLEUCINE--TRNA LIGASE, MITOCHONDRIAL"	130	"catalytic activity, acting on RNA(GO:0140098);ligase activity(GO:0016874)"	cellular amino acid metabolic process(GO:0006520);formation of translation initiation ternary complex(GO:0001677);tRNA metabolic process(GO:0006399);translational elongation(GO:0006414);translational termination(GO:0006415)	cytosol(GO:0005829)	aminoacyl-tRNA synthetase(PC00047)	
PTHR22911:SF106	VIBCH|EnsemblGenome=VC_A0599|UniProtKB=Q9KLZ2	SUBFAMILY NOT NAMED	8			integral component of membrane(GO:0016021)	transporter(PC00227)	
PTHR10947:SF0	VIBCH|EnsemblGenome=VC_1220|UniProtKB=Q9KSN6	PHENYLALANINE--TRNA LIGASE BETA SUBUNIT	170	"catalytic activity, acting on RNA(GO:0140098);ligase activity(GO:0016874)"	cellular amino acid metabolic process(GO:0006520);formation of translation initiation ternary complex(GO:0001677);tRNA metabolic process(GO:0006399);translational elongation(GO:0006414);translational termination(GO:0006415)	catalytic complex(GO:1902494);cytoplasmic part(GO:0044444)	aminoacyl-tRNA synthetase(PC00047);nucleic acid binding(PC00171)	
PTHR11082:SF26	VIBCH|EnsemblGenome=VC_1105|UniProtKB=Q9KT00	TRNA-DIHYDROURIDINE(16) SYNTHASE	9					
PTHR43000:SF12	VIBCH|EnsemblGenome=VC_1632|UniProtKB=Q9KRK8	NAD(P)-BINDING PROTEIN YBJT-RELATED	9					
PTHR46036:SF5	VIBCH|EnsemblGenome=VC_1010|UniProtKB=Q9KT93	LACTOYLGLUTATHIONE LYASE	54	"hydrolase activity, acting on ester bonds(GO:0016788);lyase activity(GO:0016829)"	cellular catabolic process(GO:0044248);monocarboxylic acid metabolic process(GO:0032787);organic hydroxy compound metabolic process(GO:1901615);organic substance catabolic process(GO:1901575);small molecule catabolic process(GO:0044282)			
