vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC2690,Q9KNP1,FERROUS-IRON EFFLUX PUMP FIEF,21,efflux transmembrane transporter activity;iron ion transmembrane transporter activity;secondary active transmembrane transporter activity,GO:0015562;GO:0005381;GO:0015291
VC2691,Q9KNP0,PERIPLASMIC CHAPERONE SPY,7,"",""
VC2692,Q9KNN9,TRANSCRIPTIONAL REGULATORY PROTEIN CPXR,13,DNA-binding transcription factor activity;molecular transducer activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0060089;GO:0000976
VC2693,Q9KNN8,SENSOR HISTIDINE KINASE CPXA,24,"",""
VC2694,Q9KNN7,"37S RIBOSOMAL PROTEIN S26, MITOCHONDRIAL",56,oxidoreductase activity,GO:0016491
VC2695,Q9KNN6,TRNA (CYTIDINE(34)-2'-O)-METHYLTRANSFERASE,66,"",""
VC2696,Q9KNN5,UPF0716 PROTEIN FXSA,16,"",""
VC2697,Q9KNN4,,,,
VC2698,Q9KNN3,ASPARTATE AMMONIA-LYASE,23,"",""
VC2699,Q9KNN2,ANAEROBIC C4-DICARBOXYLATE TRANSPORTER DCUA,5,"",""
VC2701,Q9KNN1,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBD,15,disulfide oxidoreductase activity,GO:0015036
VC2702,Q9KNN0,HTH-TYPE TRANSCRIPTIONAL REGULATOR YHJB-RELATED,18,"",""
VC2703,Q9KNM9,K(+)/H(+) ANTIPORTER NHAP2,15,"",""
VC2704,Q9KNM8,,,,
VC2705,Q9KNM7,SUBFAMILY NOT NAMED,7,"",""
VC2706,Q9KNM6,QUEUOSINE PRECURSOR TRANSPORTER,10,"",""
VC2707,Q9KNM5,,,,
VC2708,Q9KNM4,"GUANYLATE KINASE 3, CHLOROPLASTIC",77,"kinase activity;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016776
VC2709,Q9KNM3,DNA-DIRECTED RNA POLYMERASE SUBUNIT OMEGA,23,"",""
VC2710,Q9KNM2,BIFUNCTIONAL (P)PPGPP SYNTHASE/HYDROLASE SPOT,13,"phosphoric ester hydrolase activity;transferase activity, transferring phosphorus-containing groups",GO:0042578;GO:0016772
VC2711,Q9KNM1,"ATP-DEPENDENT DNA HELICASE HOMOLOG RECG, CHLOROPLASTIC",41,"",""
VC2712,Q9KNM0,XANTHINE PERMEASE XANP,30,nucleobase transmembrane transporter activity,GO:0015205
VC2713,Q9KNL9,OSMOLARITY SENSOR PROTEIN ENVZ,31,"",""
VC2714,Q9KNL8,TRANSCRIPTIONAL REGULATORY PROTEIN OMPR,6,DNA-binding transcription factor activity;molecular transducer activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0060089;GO:0000976
VC2715,Q9KNL7,TRANSCRIPTION ELONGATION FACTOR GREB,12,"",""
VC2716,Q9KNL6,S1 RNA-BINDING DOMAIN-CONTAINING PROTEIN 1,58,mRNA binding;structural constituent of ribosome,GO:0003729;GO:0003735
VC2717,Q9KNL5,,,,
VC2718,Q9KNL4,SUBFAMILY NOT NAMED,7,"",""
VC2719,Q9KNL3,DNA UTILIZATION PROTEIN YHGH,31,"",""
VC2720,Q9KNL2,,,,
VC2721,Q9KNL1,ADP COMPOUNDS HYDROLASE NUDE,7,pyrophosphatase activity,GO:0016462
VC2722,Q9KNL0,SUBFAMILY NOT NAMED,3,nucleotidase activity,GO:0008252
VC2723,P45784,,,,
VC2724,P41851,,,,
VC2725,P45782,,,,
VC2726,P45781,TYPE II SECRETION SYSTEM PROTEIN K-RELATED,5,"",""
VC2727,P45776,TYPE II SECRETION SYSTEM PROTEIN J-RELATED,9,"",""
VC2728,P45775,TYPE II SECRETION SYSTEM PROTEIN I-RELATED,10,"",""
VC2729,P45774,TYPE II SECRETION SYSTEM PROTEIN H-RELATED,3,"",""
VC2730,P45773,TYPE II SECRETION SYSTEM PROTEIN G-RELATED,43,"",""
VC2731,P45780,TYPE II SECRETION SYSTEM PROTEIN F-RELATED,36,"",""
VC2732,P37093,TYPE II SECRETION SYSTEM PROTEIN E-RELATED,36,ATPase activity,GO:0016887
VC2734,P45777,,,,
VC2735,Q9KNK3,,,,
VC2736,Q9KNK2,33 KDA CHAPERONIN,36,"",""
VC2737,Q9KNK1,,,,
VC2738,Q9KNK0,PHOSPHOENOLPYRUVATE CARBOXYKINASE (ATP),69,lyase activity,GO:0016829
VC2739,Q9KNJ9,,,,
VC2740,Q9KNJ8,SUBFAMILY NOT NAMED,26,N-acetyltransferase activity;monosaccharide binding,GO:0008080;GO:0048029
VC2741,Q9KNJ7,D-AMINOACYL-TRNA DEACYLASE 1,120,"carboxylic ester hydrolase activity;catalytic activity, acting on RNA",GO:0052689;GO:0140098
VC2742,Q9KNJ6,UPF0761 MEMBRANE PROTEIN YIHY,19,"",""
VC2743,Q9KNJ5,,,,
VC2744,Q9KNJ4,ELONGATION FACTOR FAMILY PROTEIN,76,"",""
VC2745,Q9KNJ3,,,,
VC2746,Q9KNJ2,GLUTAMINE SYNTHETASE,10,ligase activity,GO:0016874
VC2747,Q9KNJ1,,,,
VC2748,Q9KNJ0,SENSORY HISTIDINE KINASE/PHOSPHATASE NTRB,8,"",""
VC2749,Q9KNI9,DNA-BINDING TRANSCRIPTIONAL REGULATOR NTRC,61,"",""
VC2750,Q9KNI8,,,,
VC2751,Q9KNI7,ADENOSINE DEAMINASE,61,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GO:0016810
VC2753,Q9KNI6,,,,
VC2754,Q9KNI5,,,,
VC2755,Q9KNI4,PROTOPORPHYRINOGEN IX DEHYDROGENASE [MENAQUINONE],17,"",""
VC2756,Q9KNI3,TRK SYSTEM POTASSIUM UPTAKE PROTEIN TRKG-RELATED,18,"",""
VC2757,Q9KNI2,IMPACT FAMILY MEMBER YIGZ,59,"",""
VC2758,Q9KNI1,FATTY ACID OXIDATION COMPLEX SUBUNIT ALPHA,6,"hydro-lyase activity;ligase activity, forming carbon-sulfur bonds;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016836;GO:0016877;GO:0016616
VC2759,Q9KNI0,3-KETOACYL-COA THIOLASE FADA,6,"ligase activity, forming carbon-sulfur bonds;transferase activity, transferring acyl groups other than amino-acyl groups",GO:0016877;GO:0016747
VC2760,Q9KNH9,SUBFAMILY NOT NAMED,6,"",""
VC2761,Q9KNH8,INNER MEMBRANE TRANSPORT PROTEIN YDHC,5,drug transmembrane transporter activity,GO:0015238
VC2762,Q9KNH7,BIFUNCTIONAL PROTEIN GLMU,48,enzyme regulator activity;guanyl-nucleotide exchange factor activity;nucleotidyltransferase activity;translation initiation factor activity;translation regulator activity,GO:0030234;GO:0005085;GO:0016779;GO:0003743;GO:0045182
VC2763,Q9KNH6,"ATP SYNTHASE EPSILON CHAIN, CHLOROPLASTIC",64,"proton-transporting ATP synthase activity, rotational mechanism",GO:0046933
VC2764,Q9KNH5,ATP SYNTHASE SUBUNIT BETA,120,"ligand-gated ion channel activity;proton-transporting ATP synthase activity, rotational mechanism;single-stranded DNA binding",GO:0015276;GO:0046933;GO:0003697
VC2765,Q9KNH4,MYB-LIKE PROTEIN O,93,"ATPase activity, coupled to transmembrane movement of substances;proton transmembrane transporter activity",GO:0042626;GO:0015078
VC2766,Q9KNH3,"ATP SYNTHASE SUBUNIT ALPHA, MITOCHONDRIAL",162,"ATP binding;proton-transporting ATP synthase activity, rotational mechanism",GO:0005524;GO:0046933
VC2767,Q9KNH2,"ATP SYNTHASE SUBUNIT O, MITOCHONDRIAL",149,"",""
VC2768,Q9KNH1,ATP SYNTHASE SUBUNIT B,32,"ATPase activity, coupled to transmembrane movement of substances;proton transmembrane transporter activity",GO:0042626;GO:0015078
VC2769,Q9KNH0,ATP SYNTHASE SUBUNIT C,38,"",""
VC2770,Q9KNG9,"ATP SYNTHASE SUBUNIT A, CHLOROPLASTIC",83,"",""
VC2771,Q9KNG8,,,,
VC2772,Q9KNG7,SUBFAMILY NOT NAMED,47,"",""
VC2773,Q9KNG6,SUBFAMILY NOT NAMED,51,"",""
VC2774,Q9KNG5,S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN,71,RNA methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity,GO:0008173;GO:0008757
VC2775,Q9KNG4,"PROTEIN MTO1 HOMOLOG, MITOCHONDRIAL",134,flavin adenine dinucleotide binding,GO:0050660
VCA0001,Q9KNG3,,,,
VCA0002,Q9KNG2,,,,
VCA0003,Q9KNG1,,,,
VCA0004,Q9KNG0,,,,
VCA0005,Q9KNF9,,,,
VCA0006,Q9KNF8,TRANSLATIONAL ACTIVATOR OF CYTOCHROME C OXIDASE 1,88,"",""
VCA0007,Q9KNF7,SUBFAMILY NOT NAMED,4,oxidoreductase activity,GO:0016491
VCA0008,Q9KNF6,,,,
VCA0009,Q9KNF5,,,,
VCA0010,Q9KNF4,,,,
VCA0011,Q9KNF3,HTH-TYPE TRANSCRIPTIONAL REGULATOR MALT,7,"",""
VCA0012,Q9KNF2,,,,
VCA0013,Q9KNF1,MALTODEXTRIN PHOSPHORYLASE,3,"anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding;transferase activity, transferring hexosyl groups",GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094;GO:0016758
VCA0014,Q9KNF0,"4-ALPHA-GLUCANOTRANSFERASE DPE1, CHLOROPLASTIC/AMYLOPLASTIC",60,"",""
VCA0015,Q9KNE8,"1,4-ALPHA-GLUCAN-BRANCHING ENZYME",151,"transferase activity, transferring hexosyl groups",GO:0016758
VCA0018,Q9KNE7,,,,
VCA0019,Q9KNE6,,,,
VCA0020,Q9KNE5,,,,
VCA0021,Q9KNE4,,,,
VCA0022,Q9KNE3,INNER MEMBRANE PROTEIN YECN,13,"",""
VCA0023,Q9KNE2,O-ACETYLTRANSFERASE WECH,5,"",""
VCA0024,Q9KNE1,AUXIN EFFLUX CARRIER COMPONENT 1,104,"",""
VCA0025,Q9KNE0,PROTEIN I'M NOT DEAD YET-RELATED,116,"",""
VCA0026,Q9KND9,,,,
VCA0027,Q9KND8,CHITINASE 7,122,"",""
VCA0028,Q9KND7,,,,
VCA0029,Q9KND6,HTH-TYPE TRANSCRIPTIONAL REPRESSOR ALLR,31,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VCA0030,Q9KND5,,,,
VCA0031,Q9KND4,,,,
VCA0032,Q9KND3,,,,
VCA0033,Q9KND2,SUBFAMILY NOT NAMED,13,"",""
VCA0034,Q9KND1,SUBFAMILY NOT NAMED,7,"",""
VCA0035,Q9KND0,,,,
VCA0036,Q9KNC9,SERINE/THREONINE TRANSPORTER SSTT,9,amino acid:sodium symporter activity;neutral amino acid transmembrane transporter activity,GO:0005283;GO:0015175
VCA0037,Q9KNC8,SUBFAMILY NOT NAMED,14,"",""
VCA0038,Q9KNC7,SUBFAMILY NOT NAMED,31,oxidoreductase activity,GO:0016491
VCA0039,Q9KNC6,,,,
VCA0040,Q9KNC5,SUBFAMILY NOT NAMED,9,"",""
VCA0041,Q9KNC4,SODIUM/GLUTAMATE SYMPORTER,16,"",""
VCA0042,Q9KNC3,,,,
VCA0043,Q9KNC2,PROTEIN NATD1,77,N-acyltransferase activity,GO:0016410
VCA0044,Q9KNC1,SUBFAMILY NOT NAMED,12,"",""
VCA0045,Q9KNC0,SUBFAMILY NOT NAMED,9,"",""
VCA0046,Q9KNB9,,,,
VCA0047,Q9KNB8,INNER MEMBRANE PROTEIN YIAV-RELATED,6,"",""
VCA0048,Q9KNB7,,,,
VCA0049,Q9KNB6,,,,
VCA0050,Q9KNB5,,,,
VCA0051,Q9KNB4,,,,
VCA0052,Q9KNB3,,,,
VCA0053,Q9KNB2,SUBFAMILY NOT NAMED,23,"",""
VCA0054,Q9KNB1,,,,
VCA0055,Q9KNB0,SUBFAMILY NOT NAMED,9,"",""
VCA0056,Q9KNA9,HTH-TYPE TRANSCRIPTIONAL REGULATOR MLRA-RELATED,10,"",""
VCA0057,Q9KNA8,SI:CH1073-390K14.1,74,lyase activity;nucleic acid binding,GO:0016829;GO:0003676
VCA0058,Q9KNA7,"L,D-TRANSPEPTIDASE YBIS-RELATED",28,"peptidase activity, acting on L-amino acid peptides;serine hydrolase activity",GO:0070011;GO:0017171
VCA0059,Q9KNA6,MAJOR OUTER MEMBRANE PROLIPOPROTEIN LPP,8,glycosaminoglycan binding,GO:0005539
VCA0060,Q9KNA5,,,,
VCA0061,Q9KNA4,ATP-DEPENDENT RNA HELICASE DDX17-RELATED,138,"",""
VCA0062,Q9KNA3,,,,
VCA0063,Q9KNA2,PROLYL ENDOPEPTIDASE-LIKE,91,"",""
VCA0064,Q9KNA1,,,,
VCA0065,Q9KNA0,,,,
VCA0066,Q9KN99,,,,
VCA0067,Q9KN98,SUBFAMILY NOT NAMED,18,"",""
VCA0068,Q9KN97,,,,
VCA0069,Q9KN96,,,,
VCA0070,Q9KN95,,,,
VCA0071,Q9KN94,PHOSPHATE TRANSPORT SYSTEM PERMEASE PROTEIN PSTC,33,"",""
VCA0072,Q9KN93,SUBFAMILY NOT NAMED,9,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VCA0073,Q9KN92,ABC TRANSPORTER I FAMILY MEMBER 17,74,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VCA0074,Q9KN91,,,,
VCA0075,Q9KN90,,,,
VCA0076,Q9KN89,,,,
VCA0077,Q9KN88,C4-DICARBOXYLIC ACID TRANSPORTER DAUA,28,"",""
VCA0078,Q9KN87,,,,
VCA0079,Q9KN86,,,,
VCA0080,Q9KN85,,,,
VCA0081,Q9KN84,,,,
VCA0082,Q9KN83,SUBFAMILY NOT NAMED,12,"",""
VCA0083,Q9KN82,SUBFAMILY NOT NAMED,3,drug transmembrane transporter activity,GO:0015238
VCA0084,Q9KN81,REDOX-SENSITIVE TRANSCRIPTIONAL ACTIVATOR SOXR,7,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VCA0085,Q9KN80,SUBFAMILY NOT NAMED,34,"",""
VCA0086,Q9KN79,,,,
VCA0087,Q9KN78,,,,
VCA0088,Q9KN77,SUBFAMILY NOT NAMED,11,"",""
VCA0089,Q9KN76,,,,
VCA0090,Q9KN75,SUBFAMILY NOT NAMED,4,"",""
VCA0091,Q9KN74,SUBFAMILY NOT NAMED,10,"",""
VCA0092,Q9KN73,SUBFAMILY NOT NAMED,8,"",""
VCA0093,Q9KN72,,,,
VCA0094,Q9KN71,SUBFAMILY NOT NAMED,16,"",""
VCA0095,Q9KN70,,,,
VCA0096,Q9KN69,,,,
VCA0097,Q9KN68,,,,
VCA0098,Q9KN67,NICOTINATE PHOSPHORIBOSYLTRANSFERASE,127,ligase activity,GO:0016874
VCA0099,Q9KN66,SUBFAMILY NOT NAMED,24,oxidoreductase activity,GO:0016491
VCA0100,Q9KN65,SUBFAMILY NOT NAMED,25,oxidoreductase activity,GO:0016491
VCA0101,Q9KN64,SUBFAMILY NOT NAMED,2,"",""
VCA0102,Q9KN63,PSEUDOURIDINE-5'-PHOSPHATASE,135,magnesium ion binding,GO:0000287
VCA0103,Q9KN62,SUBFAMILY NOT NAMED,10,"",""
VCA0104,Q9KN61,,,,
VCA0105,Q9KN60,,,,
VCA0106,Q9KN59,,,,
VCA0107,Q9KN58,SUBFAMILY NOT NAMED,6,"",""
VCA0108,Q9KN57,SUBFAMILY NOT NAMED,6,"",""
VCA0109,Q9KN56,,,,
VCA0110,Q9KN55,SUBFAMILY NOT NAMED,4,"",""
VCA0111,Q9KN54,SUBFAMILY NOT NAMED,6,"",""
VCA0112,Q9KN53,,,,
VCA0113,Q9KN52,SUBFAMILY NOT NAMED,8,"",""
VCA0114,Q9KN51,SUBFAMILY NOT NAMED,11,"",""
VCA0115,Q9KN50,SUBFAMILY NOT NAMED,7,"",""
VCA0116,Q9KN49,"CHAPERONE PROTEIN CLPC1, CHLOROPLASTIC-RELATED",78,"",""
VCA0117,Q9KN48,,,,
VCA0118,Q9KN47,,,,
VCA0119,Q9KN46,SUBFAMILY NOT NAMED,3,"",""
VCA0120,Q9KN45,SUBFAMILY NOT NAMED,2,"",""
VCA0121,Q9KN44,SUBFAMILY NOT NAMED,6,"",""
VCA0122,Q9KN43,,,,
VCA0123,Q9KN42,,,,
VCA0124,Q9KN41,,,,
VCA0125,Q9KN40,,,,
VCA0126,Q9KN39,,,,
VCA0127,Q9KN38,D-RIBOSE PYRANASE,9,intramolecular transferase activity,GO:0016866
VCA0128,Q9KN37,D-ALLOSE IMPORT ATP-BINDING PROTEIN ALSA-RELATED,34,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VCA0129,Q9KN36,ABC TRANSPORTER PERMEASE PROTEIN YPHD-RELATED,34,"",""
VCA0130,Q9KN35,D-ALLOSE-BINDING PERIPLASMIC PROTEIN-RELATED,22,"",""
VCA0131,Q9KN34,RIBOKINASE,92,"",""
VCA0132,Q9KN33,RIBOSE OPERON REPRESSOR,32,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VCA0134,Q9KN32,URIDINE PHOSPHORYLASE,28,"transferase activity, transferring glycosyl groups",GO:0016757
VCA0135,Q9KN31,SUBFAMILY NOT NAMED,3,DNA-binding transcription factor activity,GO:0003700
VCA0136,Q9KN30,GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE GDPD6,66,phosphoric diester hydrolase activity,GO:0008081
VCA0137,Q9KN29,GLYCEROL-3-PHOSPHATE TRANSPORTER,10,transmembrane transporter activity,GO:0022857
VCA0138,Q9KN28,,,,
VCA0139,Q9KN27,,,,
VCA0140,Q9KN26,SUBFAMILY NOT NAMED,7,"",""
VCA0141,Q9KN25,,,,
VCA0142,Q9KN24,,,,
VCA0143,Q9KN23,,,,
VCA0144,Q9KN22,,,,
VCA0145,Q9KN21,,,,
VCA0146,Q9KN20,SUBFAMILY NOT NAMED,2,"",""
VCA0147,Q9KN19,"L-2-HYDROXYGLUTARATE DEHYDROGENASE, MITOCHONDRIAL",51,"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614
VCA0148,Q9KN18,,,,
VCA0149,Q9KN17,,,,
VCA0150,Q9KN16,SUBFAMILY NOT NAMED,2,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",GO:0016811
VCA0151,Q9KN15,,,,
VCA0152,Q9KN14,SUBFAMILY NOT NAMED,17,sodium ion transmembrane transporter activity;solute:proton antiporter activity,GO:0015081;GO:0015299
VCA0153,Q9KN13,SUBFAMILY NOT NAMED,20,sodium ion transmembrane transporter activity;solute:proton antiporter activity,GO:0015081;GO:0015299
VCA0154,Q9KN12,SUBFAMILY NOT NAMED,20,"",""
VCA0155,Q9KN11,SUBFAMILY NOT NAMED,16,oxidoreductase activity,GO:0016491
VCA0156,Q9KN10,SUBFAMILY NOT NAMED,24,"",""
VCA0157,Q9KN09,SUBFAMILY NOT NAMED,16,oxidoreductase activity,GO:0016491
VCA0158,Q9KN08,,,,
VCA0159,Q9KN07,,,,
VCA0160,Q9KN06,LOW AFFINITY TRYPTOPHAN PERMEASE-RELATED,9,"",""
VCA0161,Q9KN05,BETA-ELIMINATING LYASE-LIKE PROTEIN-RELATED,11,"",""
VCA0162,Q9KN04,,,,
VCA0163,Q9KN03,SUBFAMILY NOT NAMED,6,"",""
VCA0164,Q9KN02,"L,D-TRANSPEPTIDASE YAFK-RELATED",12,"",""
VCA0165,Q9KN01,,,,
VCA0166,Q9KN00,,,,
VCA0167,Q9KMZ9,SUBFAMILY NOT NAMED,14,"",""
VCA0168,Q9KMZ8,,,,
VCA0169,Q9KMZ7,,,,
VCA0170,Q9KMZ6,,,,
VCA0171,Q9KMZ5,SUBFAMILY NOT NAMED,5,"",""
VCA0172,Q9KMZ4,SUBFAMILY NOT NAMED,14,"",""
VCA0173,Q9KMZ3,,,,
VCA0174,Q9KMZ2,SUBFAMILY NOT NAMED,5,"",""
VCA0175,Q9KMZ1,SUBFAMILY NOT NAMED,7,"",""
VCA0176,Q9KMZ0,,,,
VCA0177,Q9KMY9,,,,
VCA0178,Q9KMY8,THIOREDOXIN SUPERFAMILY PROTEIN,61,"",""
VCA0179,Q9KMY7,,,,
VCA0180,Q9KMY6,PEPTIDASE T,21,"",""
VCA0181,Q9KMY5,,,,
VCA0182,Q9KMY4,ANAEROBIC NITRIC OXIDE REDUCTASE TRANSCRIPTION REGULATOR NORR,4,"",""
VCA0183,Q9KMY3,FLAVOHEMOPROTEIN,32,"dioxygenase activity;flavin adenine dinucleotide binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",GO:0051213;GO:0050660;GO:0016705
VCA0184,Q9KMY2,LD37574P,83,"",""
VCA0185,Q9KMY1,,,,
VCA0186,Q9KMY0,,,,
VCA0187,Q9KMX9,,,,
VCA0188,Q9KMX8,,,,
VCA0189,Q9KMX7,,,,
VCA0190,Q9KMX6,,,,
VCA0191,Q9KMX5,ATP-DEPENDENT (S)-NAD(P)H-HYDRATE DEHYDRATASE,142,"",""
VCA0192,Q9KMX4,D-LACTATE DEHYDROGENASE-RELATED,34,"",""
VCA0193,Q9KMX3,SUBFAMILY NOT NAMED,5,"",""
VCA0194,Q9KMX2,"KCNQ POTASSIUM CHANNEL, ISOFORM F",33,"",""
VCA0195,Q9KMX1,,,,
VCA0196,Q9KMX0,,,,
VCA0197,Q9KMW9,GMP REDUCTASE,29,oxidoreductase activity,GO:0016491
VCA0198,Q9KMW8,DNA (CYTOSINE-5)-METHYLTRANSFERASE 1,118,"",""
VCA0199,Q9KMW7,SUBFAMILY NOT NAMED,11,"",""
VCA0200,Q9KMW6,SUBFAMILY NOT NAMED,15,"",""
VCA0201,Q9KMW5,,,,
VCA0204,Q9KMW4,,,,
VCA0205,Q9KMW3,ANAEROBIC C4-DICARBOXYLATE TRANSPORTER DCUB,5,"",""
VCA0206,Q9KMW2,,,,
VCA0207,Q9KMW1,NH(3)-DEPENDENT NAD(+) SYNTHETASE,12,ligase activity,GO:0016874
VCA0208,Q9KMW0,SUBFAMILY NOT NAMED,11,"",""
VCA0209,Q9KMV9,,,,
VCA0210,Q9KMV8,SUBFAMILY NOT NAMED,3,"",""
VCA0211,Q9KMV7,,,,
VCA0212,Q9KMV6,,,,
VCA0213,Q9KMV5,SUBFAMILY NOT NAMED,3,"",""
VCA0214,Q9KMV4,MULTIDRUG RESISTANCE PROTEIN D,5,drug transmembrane transporter activity,GO:0015238
VCA0215,Q9KMV3,,,,
VCA0216,Q9KMV2,,,,
VCA0217,Q9KMV1,,,,
VCA0218,Q9KMV0,GDSL ESTERASE/LIPASE APG,52,"",""
VCA0219,P09545,,,,
VCA0220,P15492,,,,
VCA0221,P15493,LIPASE 2,29,"transferase activity, transferring acyl groups",GO:0016746
VCA0222,O07350,,,,
VCA0223,Q9KMU6,SUBFAMILY NOT NAMED,11,"",""
VCA0224,Q9KMU5,,,,
VCA0225,Q9KMU4,GLUTAMINE AMIDOTRANSFERASE DUG3-RELATED,25,"peptidase activity, acting on L-amino acid peptides",GO:0070011
VCA0226,Q9KMU3,,,,
VCA0227,Q9KMU2,SUBFAMILY NOT NAMED,12,"",""
VCA0228,Q9KMU1,SUBFAMILY NOT NAMED,8,transporter activity,GO:0005215
VCA0229,Q9KMU0,SUBFAMILY NOT NAMED,8,transporter activity,GO:0005215
VCA0230,Q9KMT9,SUBFAMILY NOT NAMED,8,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VCA0231,Q9KMT8,,,,
VCA0233,Q9KMT7,,,,
VCA0234,Q9KMT6,,,,
VCA0235,Q9KMT5,,,,
VCA0236,Q9KMT4,,,,
VCA0237,Q9KMT3,,,,
VCA0238,Q9KMT2,SENSOR HISTIDINE KINASE GLRK,52,molecular transducer activity;protein kinase activator activity;protein kinase activity;protein kinase binding,GO:0060089;GO:0030295;GO:0004672;GO:0019901
VCA0239,Q9KMT1,SUBFAMILY NOT NAMED,49,DNA-binding transcription factor activity;molecular transducer activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0060089;GO:0000976
VCA0240,Q9KMT0,,,,
VCA0241,Q9KMS9,L-RIBULOSE-5-PHOSPHATE 3-EPIMERASE SGBU-RELATED,11,catalytic activity,GO:0003824
VCA0242,Q9KMS8,3-KETO-L-GULONATE-6-PHOSPHATE DECARBOXYLASE SGBH,5,lyase activity,GO:0016829
VCA0243,Q9KMS7,PYRIDOXAL PHOSPHATE PHOSPHATASE YBHA,5,magnesium ion binding;phosphatase activity,GO:0000287;GO:0016791
VCA0244,Q9KMS6,L-RIBULOSE-5-PHOSPHATE 4-EPIMERASE SGBE,10,lyase activity,GO:0016829
VCA0245,Q9KMS5,ASCORBATE-SPECIFIC PTS SYSTEM EIIA COMPONENT,10,"",""
VCA0246,Q9KMS4,ASCORBATE-SPECIFIC PTS SYSTEM EIIC COMPONENT,5,"",""
VCA0247,Q9KMS3,HTH-TYPE TRANSCRIPTIONAL REGULATOR ULAR,12,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VCA0248,Q9KMS2,L-ASCORBATE-6-PHOSPHATE LACTONASE ULAG-RELATED,5,"",""
VCA0249,Q9KMS1,SUBFAMILY NOT NAMED,5,"",""
VCA0250,Q9KMS0,ALPHA-AMYLASE,96,"",""
VCA0251,Q9KMR9,,,,
VCA0252,Q9KMR8,,,,
VCA0253,Q9KMR7,SUBFAMILY NOT NAMED,6,acetyltransferase activity;lyase activity,GO:0016407;GO:0016829
VCA0254,Q9KMR6,,,,
VCA0255,Q9KMR5,,,,
VCA0256,Q9KMR4,,,,
VCA0257,Q9KMR3,HYBRID SIGNAL TRANSDUCTION HISTIDINE KINASE H,194,molecular transducer activity;protein kinase activity,GO:0060089;GO:0004672
VCA0258,Q9KMR2,,,,
VCA0259,Q9KMR1,,,,
VCA0260,Q9KMR0,,,,
VCA0261,Q9KMQ9,,,,
VCA0262,Q9KMQ8,,,,
VCA0263,Q9KMQ7,,,,
VCA0264,Q9KMQ6,,,,
VCA0265,Q9KMQ5,,,,
VCA0266,Q9KMQ4,SUBFAMILY NOT NAMED,17,"",""
VCA0267,Q9KMQ3,SUBFAMILY NOT NAMED,5,drug transmembrane transporter activity,GO:0015238
VCA0268,Q9KMQ2,,,,
VCA0269,Q9KMQ1,SPHINGOSINE-1-PHOSPHATE LYASE 1,101,anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094
VCA0270,Q9KMQ0,,,,
VCA0271,Q9KMP9,,,,
VCA0272,Q9KMP8,,,,
VCA0273,Q9KMP7,,,,
VCA0274,Q9KMP6,SUBFAMILY NOT NAMED,44,"",""
VCA0277,Q9KMP5,"GLYCINE CLEAVAGE SYSTEM H PROTEIN, MITOCHONDRIAL",178,"",""
VCA0278,Q9KMP4,"SERINE HYDROXYMETHYLTRANSFERASE, MITOCHONDRIAL",120,"amino acid binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;transferase activity, transferring one-carbon groups;zinc ion binding",GO:0016597;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0016741;GO:0008270
VCA0279,Q9KMP3,SUBFAMILY NOT NAMED,3,"",""
VCA0281,Q9KMP2,PROPHAGE INTEGRASE INTS-RELATED,17,"",""
VCA0282,Q9K2I8,TRANSPOSASE INSH FOR INSERTION SEQUENCE ELEMENT IS5A-RELATED,31,"",""
VCA0283,Q9KMP1,SUBFAMILY NOT NAMED,1,"",""
VCA0284,Q9KMP0,,,,
VCA0285,Q9KMN9,,,,
VCA0286,Q9KMN8,,,,
